species	sp	duration	grass	legume	herb	func_grp	indicator	nat_exo	status	rare
"Triptilodiscus pygmaeus"	Tri_pyg	Annual	0	0	1	Herb	2	N	I	NA
"Unidentified exotic sp."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Unidentified grass sp."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Unidentified grass sp. 2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Unidentified sp."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Unidentified sp. 2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Urtica incisa"	Urt_inc	Perennial	0	0	1	Herb	NA	N	NA	NA
"Velleia paradoxa"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Verbascum thapsus"	Ver_tha	Annual	0	0	1	Herb	NA	E	NA	NA
"Verbascum virgatum"	Ver_vir	Annual	0	0	1	Herb	NA	E	NA	NA
"Verbena bonariensis"	Ver_bon	Perennial	0	0	1	Herb	NA	E	NA	NA
"Vittadinia cuneata"	Vit_cun	Annual	0	0	1	Herb	C	N	NA	NA
"Vittadinia cuneata (green)"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Vittadinia gracilis"	Vit_gra	Perennial	0	0	0	Woody_shrub	C	N	NA	NA
"Vittadinia muelleri"	Vit_mue	Perennial	0	0	1	Herb	C	N	NA	NA
"Vulpia bromoides"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Vulpia muralis"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Vulpia sp."	Vul_sp.	Annual	1	0	0	C3	NA	E	NA	NA
"Wahlenbergia communis"	Wah_com	Perennial	0	0	1	Herb	C	N	NA	NA
"Wahlenbergia gracilenta"	Wah_gta	Annual	0	0	1	Herb	C	N	NA	NA
"Wahlenbergia gracilis"	Wah_gis	Perennial	0	0	1	Herb	C	N	NA	NA
"Wahlenbergia luteola"	Wah_lut	Perennial	0	0	1	Herb	C	N	NA	NA
"Wahlenbergia multicaulis"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Wahlenbergia sp."	Wah_sp.	NA	0	0	1	Herb	C	N	NA	NA
"Wahlenbergia sp. 2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Wahlenbergia stricta"	Wah_str	Perennial	0	0	1	Herb	C	N	NA	NA
"Wurmbea dioica"	Wur_dio	Perennial	0	0	1	Herb	2	N	I	NA
"Xanthium spinosum"	Xan_spi	Annual	0	0	1	Herb	NA	N	NA	NA
"Xerochrysum viscosum"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
