Species	Sp	Duration	Grass	Legume	Herb	func_grp	Significance	Status	Indicator	rare			
"""Pyracantha sp."""	Pyr_sp.	Perennial	0	0	0	Woody_shrub	X	E	NA	NA			
"""Ranunculus pumilio"""	Ran_pum	Annual	0	0	1	Herb	A	N	1	NA			
"""Ranunculus trilobus"""	Ran_tri	Annual	0	0	1	Herb	Y	E	NA	NA			
"""Romulea sp. """	Rom_sp	Perennial	0	0	1	Herb	Z	E	NA	NA			
"""Rosa rubiginosa"""	Ros_rub	Perennial	0	0	0	Woody_shrub	Y	E	NA	NA			
"""Rubus fruticosus"""	Rub_fru	Perennial	0	0	0	Woody_shrub	Y	E	NA	NA			
"""Rubus parviflorus"""	Rub_pfl	Perennial	0	0	0	Woody_shrub	A	N	1	NA			
"""Rumex brownii"""	Rum_bro	Perennial	0	0	1	Herb	C	N	NA	NA			
"""Rumex crispus"""	Rum_cri	Perennial	0	0	1	Herb	Y	E	NA	NA			
"""Rumex dumosus"""	Rum_dum	Perennial	0	0	1	Herb	B	N	1	NA			
"""Rumex sp."""	Rum_sp	Annual_Perennial	NA	NA	NA	Herb	NA	NA	NA	NA			
"""Rytidosperma caespitosum"""	Ryt_cae	Perennial	1	0	0	C3	C	N	NA	NA			
"""Rytidosperma carphoides"""	Ryt_car	Perennial	1	0	0	C3	C	N	NA	NA			
"""Rytidosperma laevis"""	Ryt_lae	Perennial	1	0	0	C3	C	N	NA	NA			
"""Rytidosperma pallidum"""	Ryt_pal	Perennial	1	0	0	C3	B	N	1	NA			
"""Rytidosperma pilosa"""	Ryt_pil	Perennial	1	0	0	C3	C	N	NA	NA			
"""Rytidosperma racemosum"""	Ryt_rac	Perennial	1	0	0	C3	C	N	NA	NA			
"""Rytidosperma sp """	Ryt_sp	Perennial	1	0	0	C3	C	N	NA	NA			
"""Rytidosperma sp 3. large"""	Ryt_sp3_large	Perennial	1	0	0	C3	C	N	NA	NA			
"""Rytidosperma sp. 4 """	Ryt_sp4	Perennial	1	0	0	C3	C	N	NA	NA			
"""Rytidosperma sp2"""	Ryt_sp2	Perennial	1	0	0	C3	C	N	NA	NA			
"""Salvia verbenaca"""	Sal_ver	Perennial	0	0	1	Herb	Y	E	NA	NA			
"""Sanguisorba minor"""	San_min	Perennial	0	0	1	Herb	Y	E	NA	NA			
"""Schoenus apogon"""	Sch_apo	Annual	0	0	0	Sedge_Rush	C	N	NA	NA			
"""Scleranthus biflorus"""	Scl_bif	Perennial	0	0	1	Herb	A	N	1	NA			
"""Sebaea ovata"""	Seb_ova	Annual	0	0	1	Herb	A	N	1	NA			
"""Senecio quadridentatus"""	Sen_qua	Annual_Perennial	NA	NA	NA	Herb	C	NA	NA	NA			
"""Senecio sp."""	Sen_sp.	Perennial	0	0	1	Herb	C	N	NA	NA			
"""Setaria paviflora"""	Set_pav	Perennial	1	0	0	C4	Z	E	NA	NA			
